Hobby-name,Type,Likely Gender,Likely Age Groups
Air sports,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Airsoft,Outdoors and sports,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Amateur geology,Outdoors and sports,Prefer not to say,"Young Adult (19-30), Adult (31-50), Senior (51-80)"
Amusement park visiting,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Archery,Outdoors and sports,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Auto detailing,Outdoors and sports,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Automobilism,Outdoors and sports,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Astronomy,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Backpacking,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Badminton,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
BASE jumping,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Baseball,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Basketball,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Beachcombing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Beekeeping,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Birdwatching,Outdoors and sports,Prefer not to say,"Young Adult (19-30), Adult (31-50), Senior (51-80)"
Blacksmithing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
BMX,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Board sports,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Bodybuilding,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Camping,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Canoeing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Canyoning,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Carrier pigeons,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Car riding,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Car tuning,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Caving,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Climbing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Composting,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Croquet,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Cycling,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Dairy Farming,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Dandyism,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Darts,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Dodgeball,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Dog training,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Dog walking,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30)"
Dowsing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Driving,Outdoors and sports,Prefer not to say,"Young Adult (19-30), Adult (31-50)"
Farming,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Fishing,Outdoors and sports,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Flag football,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Flower growing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Flying disc,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Flying model planes,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Foraging,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Fossicking,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Freestyle football,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Fruit picking,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Gardening,Outdoors and sports,Prefer not to say,"Young Adult (19-30), Adult (31-50), Senior (51-80)"
Geocaching,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Ghost hunting,Outdoors and sports,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Gold prospecting,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Graffiti,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Groundhopping,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Guerrilla gardening,Outdoors and sports,Prefer not to say,"Young Adult (19-30), Adult (31-50), Senior (51-80)"
Gymnastics,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Handball,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Herbalism,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Herping,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
High-power rocketry,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Hiking,Outdoors and sports,Prefer not to say,"Young Adult (19-30), Adult (31-50), Senior (51-80)"
Hobby horsing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Hobby tunneling,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Hooping,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Horseback riding,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Hunting,Outdoors and sports,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Inline skating,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Jogging,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Jumping rope,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Karting,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Kayaking,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Kite flying,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Kitesurfing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Lacrosse,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
LARPing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Letterboxing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Lomography,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Longboarding,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Martial arts,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Magnet fishing,Outdoors and sports,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Metal detecting,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Motorcycling,Outdoors and sports,Male,"Young Adult (19-30), Adult (31-50)"
Meteorology,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Motor sports,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Mountain biking,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Mountaineering,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Museum visiting,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Mushroom hunting/mycology,Outdoors and sports,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Netball,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Noodling,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Nordic skating,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Orienteering,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Paintball,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Paragliding,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Parkour,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Photography,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Pickleball,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Picnicking,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Podcast hosting,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Polo,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Powerlifting,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Qigong,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Radio-controlled model playing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Rafting,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Railway journeys,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Railway modelling,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Rappelling,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Renaissance fair,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Renovating,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Road biking,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Rock climbing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Rock painting,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Roller skating,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Roundnet,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Rugby,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Running,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Safari,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Sailing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Sand art,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Scouting,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Scuba diving,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Sculling or rowing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Shooting,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Shopping,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Shuffleboard,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Skateboarding,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Skiing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Skimboarding,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Skydiving,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
