name,description,imageUrl
Electronics,Explore top picks in Electronics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQC9y0Wk4Ahlu5eewcb8U8EHv06VDwgsf0CyQ&s
Toys & Games,Explore top picks in Toys & Games,https://www.cjsuppliersshop.co.uk/cdn/shop/collections/TOYSGAMES.webp?v=1692712977
Home Decor,Explore top picks in Home Decor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnM-rHYFYosEozRSzip2KQMwIk1LsW5W0-tA&s
Clothing,Explore top picks in Clothing,https://www.have-clothes-will-travel.com/wp-content/uploads/2019/05/qtq80-7bsDUb.jpeg
Books,Explore top picks in Books,https://i0.wp.com/apeejay.news/wp-content/uploads/2023/10/281023-10-most-read-books-Feature.jpg?fit=569%2C509&ssl=1
Beauty & Wellness,Explore top picks in Beauty & Wellness,https://professionalbeauty.in/wp-content/uploads/2023/06/BANNER-OPTION-1-scaled.jpg
Food & Gourmet,Explore top picks in Food & Gourmet,https://media.istockphoto.com/id/1428412216/photo/a-male-chef-pouring-sauce-on-meal.jpg?s=612x612&w=0&k=20&c=8U3mrgWsuB7pB8axtGj89MXRkHDKodEli9F6wKgPT4A=
Travel Accessories,Explore top picks in Travel Accessories,https://voyeglobal.com/wp-content/uploads/2024/05/travel-still-life-pack-top-view_23-2148837316.jpg
Fitness & Health,Explore top picks in Fitness & Health,https://hips.hearstapps.com/hmg-prod/images/701/articles/2017/01/how-much-joining-gym-helps-health-2-jpg-1488906648.jpeg?resize=640:*
Office & Stationery,Explore top picks in Office & Stationery,https://eu.evocdn.io/dealer/1109/content/media/Blog/blog-featured-images/10OfficeStationerySuppliestoSetUpanEfficientOffice.webp
DIY & Crafts,Explore top picks in DIY & Crafts,https://media.lostateminor.com/wp-content/uploads/2023/04/Easy-and-Creative-Craft-Ideas-for-Adults-of-All-Ages.jpg
Pet Gifts,Explore top picks in Pet Gifts,https://www.nylabone.com/-/media/project/oneweb/nylabone/images/dog101/gifts-for-dog-lovers/puppy-gift-basket.jpg
Music & Instruments,Explore top picks in Music & Instruments,https://www.normans.co.uk/cdn/shop/articles/musical_instruments_mix_2.jpg?v=1663668970
Equipments,Explore top picks in Equipments,https://nabiltools.com/wp-content/uploads/2025/02/What-Is-the-Difference-Between-Tools-and-Equipment.jpg
Accessories,Explore top picks in Accessories,https://lifestylebyps.com/cdn/shop/articles/mens_accessories_600x.jpg?v=1609842116
